,C_minmax,I_minmax,Q_minmax,index_minmax,C_robust,I_robust,Q_robust,index_robust,C_percentile,I_percentile,Q_percentile,index_percentile
2017-04-01,0.2934782608695652,0.5624999999999999,0.5786066782188323,0.47819497969613245,0.04198473282442727,0.5499999999999998,0.6036438837203806,0.3985428721816026,0.18156424581005587,0.6033519553072626,0.5195530726256983,0.43482309124767227
2017-05-01,0.24999999999999972,0.5937500000000001,0.5647124086075272,0.46948746953584236,0.0,0.6000000000000001,0.571901849343926,0.39063394978130866,0.06983240223463687,0.6424581005586593,0.4972067039106145,0.40316573556797025
2017-06-01,0.23913043478260865,0.53125,0.5407247943062877,0.4370350763629654,0.0,0.5,0.5171011509941864,0.3390337169980621,0.05865921787709497,0.5502793296089385,0.4134078212290503,0.3407821229050279
2017-07-01,0.27173913043478265,0.53125,0.5190156859914685,0.44066827214208376,0.0038167938931296906,0.5,0.4675057939377427,0.32377419594362417,0.12011173184357542,0.5502793296089385,0.37988826815642457,0.3500931098696462
2017-08-01,0.30434782608695626,0.53125,0.4955781272629054,0.4437253177832872,0.06106870229007573,0.5,0.4139617203250567,0.3250101408717108,0.2122905027932961,0.5502793296089385,0.33519553072625696,0.3659217877094972
2017-09-01,0.32608695652173914,0.4999999999999999,0.47953062673089997,0.43520586108421294,0.09923664122137399,0.44999999999999973,0.37730054073137487,0.30884572731758286,0.29608938547486036,0.4748603351955307,0.30726256983240224,0.35940409683426444
2017-10-01,0.2934782608695652,0.46875,0.4801627916188449,0.41413035082947003,0.04198473282442727,0.3999999999999999,0.37874474759982424,0.2735764934747505,0.18156424581005587,0.40782122905027934,0.3128491620111732,0.30074487895716945
2017-11-01,0.27173913043478265,0.4375000000000001,0.44478765727090946,0.3846755959018974,0.0038167938931296906,0.3500000000000001,0.29792878807430595,0.21724852732247857,0.12011173184357542,0.36033519553072624,0.2737430167597765,0.25139664804469275
2017-12-01,0.24999999999999972,0.37500000000000006,0.3157895722255189,0.31359652407517286,0.0,0.25,0.003227320162959767,0.0844091067209866,0.06983240223463687,0.28212290502793297,0.10614525139664804,0.1527001862197393
2018-01-01,0.22826086956521718,0.37500000000000006,0.34715963991577814,0.31680683649366514,0.0,0.25,0.07489353903391989,0.10829784634463996,0.04748603351955307,0.28212290502793297,0.15083798882681565,0.1601489757914339
2018-02-01,0.22826086956521718,0.3437499999999999,0.4189499774180659,0.33032028232776095,0.0,0.19999999999999973,0.2389015383490319,0.14630051278301057,0.04748603351955307,0.25139664804469275,0.26256983240223464,0.1871508379888268
2018-03-01,0.23913043478260865,0.3437499999999999,0.3912758354126922,0.3247187567317669,0.0,0.19999999999999973,0.1756788147768102,0.12522627159226998,0.05865921787709497,0.25139664804469275,0.22905027932960895,0.17970204841713222
2018-04-01,0.27173913043478265,0.3437499999999999,0.4061965880038495,0.3405619061462106,0.0038167938931296906,0.19999999999999973,0.20976589203387838,0.1378608953090026,0.12011173184357542,0.25139664804469275,0.2569832402234637,0.20949720670391062
2018-05-01,0.30434782608695626,0.3125,0.38151291083811706,0.3327869123083578,0.06106870229007573,0.1499999999999999,0.1533750092418469,0.12148123717730752,0.2122905027932961,0.21508379888268156,0.18994413407821228,0.20577281191806332
2018-06-01,0.32608695652173914,0.2812500000000001,0.39189952832898095,0.33307882828357344,0.09923664122137399,0.10000000000000009,0.17710366707513323,0.12544676943216912,0.29608938547486036,0.17597765363128492,0.2346368715083799,0.23556797020484174
2018-07-01,0.2934782608695652,0.3125,0.35510823295834937,0.32036216460930483,0.04198473282442727,0.1499999999999999,0.09305242904109653,0.09501238728850792,0.18156424581005587,0.21508379888268156,0.16201117318435754,0.186219739292365
2018-08-01,0.2608695652173912,0.3125,0.33244242134462937,0.3019373288540068,0.0,0.1499999999999999,0.04127144367519012,0.06375714789173001,0.0893854748603352,0.21508379888268156,0.1340782122905028,0.14618249534450653
2018-09-01,0.27173913043478265,0.2812500000000001,0.3235745013452689,0.2921878772600172,0.0038167938931296906,0.10000000000000009,0.02101231316009489,0.04160970235107489,0.12011173184357542,0.17597765363128492,0.11731843575418995,0.1378026070763501
2018-10-01,0.2608695652173912,0.2812500000000001,0.33708209862997585,0.2930672212824557,0.0,0.10000000000000009,0.051870978591893845,0.05062365953063131,0.0893854748603352,0.17597765363128492,0.13966480446927373,0.13500931098696464
2018-11-01,0.2826086956521737,0.24999999999999994,0.31846855122366696,0.2836924156252802,0.022900763358778144,0.04999999999999982,0.009347558637663478,0.02741610733214715,0.15083798882681565,0.13966480446927373,0.11173184357541899,0.1340782122905028
2018-12-01,0.31521739130434767,0.24999999999999994,0.2462113740702222,0.2704762551248566,0.08015267175572487,0.04999999999999982,0.0,0.0433842239185749,0.2541899441340782,0.13966480446927373,0.07262569832402235,0.15549348230912474
2019-01-01,0.32608695652173914,0.24999999999999994,0.3087261849305593,0.2949377138174328,0.09923664122137399,0.04999999999999982,0.0,0.04974554707379127,0.29608938547486036,0.13966480446927373,0.1005586592178771,0.1787709497206704
2019-02-01,0.3478260869565217,0.21875000000000006,0.36968642105056637,0.31208750266902935,0.13740458015267157,0.0,0.12635690351257683,0.08792049455508281,0.3463687150837989,0.10893854748603352,0.1787709497206704,0.2113594040968343
2019-03-01,0.3478260869565217,0.21875000000000006,0.3632014041586965,0.30992583037173943,0.13740458015267157,0.0,0.11154161383760647,0.08298206466342602,0.3463687150837989,0.10893854748603352,0.16759776536312848,0.20763500931098697
